x_east_dm,y_north_dm,height_dm,crown_radius_dm,ground_dm
665,4342,73,21,4178
667,-338,84,19,4816
669,1088,123,45,4393
669,3340,157,51,4157
672,3432,119,20,4162
675,1370,142,39,4325
675,3173,95,37,4152
678,3673,75,27,4179
679,-468,119,36,4798
682,175,94,14,4719
683,1280,125,12,4355
683,1484,141,51,4288
684,272,126,42,4688
684,802,162,42,4464
685,1168,117,19,4380
685,4240,68,18,4179
687,874,133,44,4445
687,3945,91,30,4187
688,-1199,131,39,4593
689,-160,142,48,4798
689,1582,142,45,4263
691,4628,76,40,4180
693,-398,132,59,4819
700,576,173,55,4543
703,-90,118,23,4784
704,211,107,18,4717
707,1821,88,27,4195
708,996,123,45,4413
711,-246,110,42,4822
712,324,155,71,4664
716,1701,129,48,4230
718,3474,134,32,4150
719,10,135,46,4761
722,-697,37,18,4739
723,3149,52,40,4162
725,1092,138,29,4400
727,1413,154,38,4303
727,3827,111,44,4191
729,-318,74,22,4839
733,1144,134,50,4392
733,4318,104,58,4179
733,4623,66,40,4181
736,-1223,122,35,4621
736,-816,106,53,4702
737,4833,87,24,4181
738,-454,106,32,4822
738,407,162,37,4615
738,1288,158,65,4350
739,3413,181,72,4162
741,3179,54,14,4163
742,3546,129,30,4165
743,775,151,48,4493
746,-895,192,70,4657
747,-182,152,46,4816
751,3242,33,12,4161
752,64,125,29,4755
757,885,142,52,4456
758,3769,124,55,4189
761,520,175,64,4578
764,-1048,119,34,4616
764,836,106,14,4473
765,113,115,32,4744
767,-1103,114,22,4619
770,1179,142,33,4385
772,334,162,32,4669
772,3059,141,49,4160
773,1536,130,22,4254
775,1654,152,65,4225
776,1094,119,25,4400
780,-988,177,53,4665
781,-51,111,30,4793
784,694,152,69,4526
786,-335,78,21,4859
788,-569,128,28,4808
790,1428,173,54,4285
790,2967,56,27,4152
791,-212,142,60,4838
793,-140,163,40,4817
795,4649,61,21,4183
797,972,143,29,4431
797,1914,120,54,4187
798,1848,80,19,4197
799,473,165,43,4610
799,3341,134,34,4162
800,1023,139,40,4418
801,-377,100,20,4863
801,1487,164,44,4261
803,764,81,14,4508
804,-509,109,57,4836
808,867,112,22,4470
811,1327,164,50,4324
812,13,118,39,4779
814,-1163,174,54,4628
819,1171,134,42,4387
822,-1054,132,30,4679
825,923,126,21,4452
826,138,103,29,4747
827,-417,118,45,4868
827,-335,79,22,4873
829,4636,64,41,4183
831,1739,56,27,4212
833,1240,136,31,4364
834,212,133,52,4717
835,-878,148,66,4704
837,610,178,52,4568
841,3442,130,47,4159
842,1798,83,20,4209
842,3519,105,27,4167
843,341,132,37,4672
846,1371,171,47,4300
852,1902,108,19,4187
854,-135,151,56,4832
856,1292,116,20,4338
856,1536,81,21,4240
857,777,87,31,4511
858,4847,95,29,4184
860,-444,117,35,4876
861,3320,139,42,4162
862,-41,143,50,4806
863,-968,154,48,4717
865,2914,164,59,4149
867,143,75,17,4751
867,1636,172,58,4235
868,505,144,29,4610
871,1499,82,13,4246
873,4153,62,36,4181
874,3782,42,18,4190
875,-237,114,25,4869
880,972,136,51,4435
881,1807,89,34,4215
882,249,77,21,4708
883,672,151,24,4554
885,4044,78,58,4185
886,886,127,55,4469
886,1029,155,50,4416
889,3230,71,35,4162
893,-350,85,14,4896
896,1195,92,37,4376
899,-1173,146,35,4692
899,1124,97,17,4390
901,3574,76,26,4173
903,3483,120,44,4165
905,-459,98,22,4900
906,-1014,124,42,4737
908,4936,75,23,4185
909,-1069,155,38,4724
909,-595,74,16,4866
913,1270,156,37,4342
919,594,168,54,4585
919,1597,150,51,4261
920,752,111,24,4525
920,1959,106,36,4182
922,1440,137,38,4262
923,147,64,20,4758
923,3340,132,51,4166
924,183,96,32,4742
924,366,141,44,4665
930,4401,68,40,4181
931,-131,119,32,4846
934,1005,131,18,4420
937,-420,114,54,4914
937,440,155,40,4640
938,-221,154,43,4881
943,804,70,23,4505
944,106,102,19,4772
946,-887,84,27,4774
946,-724,132,38,4820
952,1916,106,57,4196
953,-279,144,48,4904
955,-676,123,65,4852
955,674,162,30,4556
958,1093,143,39,4394
959,1786,64,29,4244
959,3426,219,86,4165
961,940,157,16,4442
963,3554,48,21,4174
964,-57,126,20,4828
966,550,153,33,4597
967,178,74,13,4748
968,-484,91,27,4926
968,-153,87,21,4861
973,-972,84,28,4791
974,-773,160,47,4807
974,1830,67,19,4233
976,-1108,88,31,4761
977,-1073,85,34,4774
978,603,135,18,4581
978,2839,36,14,4165
980,4857,84,32,4189
983,34,85,28,4805
984,1379,173,47,4277
985,-98,133,38,4846
986,1313,167,62,4302
988,1181,135,32,4364
989,112,121,40,4775
990,209,96,15,4734
991,265,35,13,4700
994,3699,63,42,4188
998,1591,122,20,4295
1001,762,126,52,4520
1007,3503,97,31,4169
1008,1696,140,41,4277
1010,3779,45,21,4189
1014,-972,49,15,4828
1014,-233,121,36,4903
1017,1005,176,76,4411
1019,2019,112,28,4180
1020,4332,69,45,4182
1022,186,34,11,4743
1023,2086,60,23,4175
1027,24,76,14,4810
1030,3453,123,38,4158
1033,449,90,16,4631
1035,72,92,21,4794
1035,852,140,50,4481
1035,1835,126,34,4248
1037,638,126,28,4563
1037,3546,36,13,4174
1041,-176,146,45,4882
1042,4943,81,22,4189
1043,4424,59,37,4184
1045,2800,65,30,4168
1046,1114,184,45,4375
1047,579,151,35,4583
1047,1359,152,43,4289
1048,1558,116,21,4316
1049,1267,144,21,4312
1049,1614,133,52,4310
1049,3931,33,16,4186
1051,687,105,17,4544
1054,1208,174,51,4341
1055,4091,77,26,4185
1062,929,133,29,4441
1063,125,53,14,4772
1068,1929,154,63,4211
1069,778,135,51,4507
1069,1476,153,63,4320
1069,1721,127,36,4290
1071,-316,107,33,4943
1072,-10,29,16,4823
1073,4121,83,31,4184
1074,535,146,28,4597
1081,3211,122,64,4176
1083,2075,111,50,4174
1084,-960,52,19,4885
1084,4057,58,18,4185
1087,3411,136,31,4165
1088,2734,36,17,4164
1089,4634,62,41,4189
1092,4171,52,31,4182
1094,-1019,66,22,4876
1094,-76,82,22,4852
1095,3545,34,17,4172
1099,475,142,53,4615
1102,-273,87,20,4936
1105,1556,122,36,4332
1107,136,75,23,4766
1108,1628,107,22,4325
1108,1832,150,65,4261
1110,3462,108,42,4163
1112,2001,157,61,4184
1113,1095,163,31,4372
1114,2669,151,57,4155
1117,-641,87,36,4961
1119,4657,87,35,4190
1122,3251,145,44,4173
1124,1729,134,29,4304
1130,1277,188,54,4309
1131,738,120,24,4515
1131,819,146,28,4483
1133,1018,156,54,4397
1134,3636,57,30,4178
1135,2053,107,52,4180
1137,-433,131,53,4992
1143,1673,117,25,4322
1145,-319,121,32,4959
1145,1153,133,25,4346
1149,874,173,57,4458
1149,1486,121,36,4343
1150,-53,57,18,4845
1150,29,38,16,4813
1152,391,35,15,4641
1152,676,166,54,4533
1153,-556,112,37,4995
1158,1900,143,53,4239
1159,1386,130,40,4340
1164,3394,108,31,4157
1165,175,145,41,4741
1166,4637,84,32,4190
1169,1572,113,43,4346
1171,-383,101,22,4989
1171,1440,113,36,4346
1172,1949,92,19,4216
1174,-271,151,38,4945
1175,3249,118,23,4176
1177,-15,64,20,4835
1179,3520,60,24,4170
1181,2487,41,14,4170
1181,2670,67,25,4169
1184,1224,121,40,4323
1185,-131,126,29,4882
1189,1062,175,48,4373
1191,1771,133,29,4304
1191,2469,38,13,4171
1197,1278,117,17,4335
1198,1355,142,65,4344
1198,1640,119,45,4343
1199,2109,79,27,4175
1200,4625,79,33,4190
1204,409,106,25,4626
1204,4937,51,18,4193
1206,995,175,46,4399
1207,3593,70,43,4175
1209,736,141,32,4503
1210,3971,92,61,4186
1212,1155,148,31,4335
1212,1689,139,49,4333
1213,1521,96,21,4358
1214,-531,77,19,5020
1215,3233,108,36,4181
1219,3300,132,34,4173
1223,785,86,12,4484
1225,-391,126,51,4998
1226,2574,106,42,4157
1229,680,163,40,4521
1231,3375,156,53,4171
1231,3477,39,22,4168
1233,1812,107,29,4291
1233,3859,41,18,4188
1235,-83,81,28,4862
1235,1435,101,25,4363
1236,2026,160,68,4188
1244,1274,118,32,4349
1247,486,26,14,4590
1250,-940,42,14,5009
1252,1592,115,33,4361
1252,1776,98,39,4311
1254,910,190,47,4431
1254,1093,182,38,4353
1254,4638,72,33,4192
1255,4858,35,13,4194
1257,834,161,30,4462
1263,4315,49,35,4186
1268,3251,160,45,4180
1268,3496,37,20,4171
1269,2569,114,42,4171
1271,3196,101,22,4190
1271,4510,30,21,4189
1273,589,157,28,4544
1274,-440,109,21,5014
1281,3978,65,20,4185
1282,408,68,16,4620
1283,-580,130,63,5049
1288,-187,76,20,4913
1288,1000,155,34,4387
1289,1530,104,33,4375
1291,313,66,11,4661
1292,1352,116,48,4373
1293,2453,95,50,4168
1296,722,85,18,4497
1296,1297,106,31,4364
1298,1206,153,44,4351
1299,4624,73,26,4192
1300,3351,156,68,4166
1302,1701,128,24,4344
1304,4050,114,72,4185
1305,1855,136,42,4281
1306,-361,57,12,4996
1306,-218,98,31,4935
1308,511,152,18,4574
1308,2991,52,24,4183
1311,68,44,12,4787
1311,2406,62,21,4157
1313,1413,77,20,4382
1315,-109,105,11,4876
1315,1979,176,74,4221
1316,1608,130,41,4371
1320,35,44,22,4803
1320,1099,165,57,4353
1320,4665,69,27,4194
1321,336,82,23,4644
1321,4497,39,14,4190
1322,1747,141,35,4331
1326,872,185,40,4438
1329,3419,151,37,4173
1333,2,35,14,4816
1335,-619,118,31,5065
1338,-552,126,24,5054
1340,610,66,22,4529
1341,-765,118,35,5081
1341,2470,65,23,4172
1345,1350,93,33,4386
1346,464,142,52,4587
1346,4579,55,30,4193
1347,2058,148,46,4184
1348,3857,79,49,4183
1350,17,31,15,4809
1350,4647,60,29,4194
1357,1689,147,48,4354
1358,1399,67,21,4392
1359,-694,67,14,5080
1361,712,135,37,4493
1362,1527,121,39,4392
1368,969,188,67,4391
1372,526,143,30,4559
1374,252,172,31,4689
1375,1250,75,28,4379
1378,1154,141,47,4364
1380,2953,74,38,4187
1381,39,53,18,4794
1383,-790,124,38,5097
1384,-240,97,47,4948
1384,86,92,21,4771
1388,-585,116,30,5064
1389,-137,126,43,4887
1390,1906,156,55,4261
1391,307,40,18,4656
1392,3108,159,47,4201
1393,2324,81,35,4159
1395,4388,39,20,4189
1400,1766,169,59,4329
1400,2071,132,36,4184
1400,4531,58,26,4192
1401,3197,150,51,4194
1402,1308,66,33,4397
1403,916,146,27,4408
1408,15,30,12,4798
1413,1081,146,29,4369
1415,-487,88,18,5037
1415,2895,87,35,4176
1418,1429,80,33,4412
1422,452,149,43,4586
1422,798,172,29,4452
1424,2347,68,30,4173
1425,4578,55,24,4194
1426,-754,133,44,5105
1428,1019,124,16,4377
1429,688,196,48,4491
1429,3148,157,49,4201
1431,515,128,19,4559
1432,1845,160,54,4292
1435,-543,130,23,5053
1436,1973,138,37,4232
1439,4398,45,41,4190
1442,4633,59,26,4194
1443,264,70,11,4674
1445,111,104,19,4747
1448,20,74,17,4790
1448,4691,72,35,4198
1454,1718,120,25,4352
1456,-238,86,14,4933
1456,3287,72,29,4176
1458,2111,108,37,4179
1460,1612,147,54,4390
1461,4495,68,31,4193
1463,-817,122,46,5128
1464,-903,105,42,5138
1467,3081,136,44,4203
1469,901,175,64,4398
1470,-682,66,23,5095
1472,-483,106,30,5028
1472,3877,143,37,4184
1474,225,62,12,4685
1475,343,58,23,4629
1477,-34,140,56,4816
1477,827,146,15,4439
1478,-161,59,15,4888
1479,552,159,50,4541
1479,3257,81,28,4192
1481,-89,116,32,4850
1481,482,135,18,4572
1485,4318,72,23,4190
1487,727,172,27,4473
1488,1930,122,22,4249
1490,632,211,62,4507
1494,3627,76,29,4179
1495,1269,161,68,4413
1495,4667,87,30,4197
1496,-763,127,32,5120
1497,277,99,29,4659
1498,2116,101,18,4179
1498,4494,76,34,4194
1503,-567,142,39,5056
1504,-654,130,32,5087
1504,1541,135,51,4417
1506,-251,155,43,4925
1506,3315,69,16,4169
1507,1018,144,40,4388
